pair_key,molecule_a_id,molecule_b_id,molecule_a_hash,molecule_b_hash,scaffold_a_hash,scaffold_b_hash,tanimoto_similarity,delta_pIC50
3ae3e658a345,CHEMBL5860718,CHEMBL5972723,bfcf8cd83e55,647ef0251023,f9334c24dbd8,f9334c24dbd8,0.8571,3.6291
17f2f121ad57,CHEMBL5768138,CHEMBL5957231,c13a3468575c,5c4a987cf957,e392073982b0,904246bda3ab,0.8539,3.5374
d44b3e13bee6,CHEMBL205798,CHEMBL438075,802503091a34,3af3de82a62f,ae1937cf8167,ae1937cf8167,0.8841,3.3205
002e3740490c,CHEMBL593860,CHEMBL604485,6e5acd2d1644,b154d8af4626,c9c1b60fac08,912fe434e1f0,0.8889,3.2175
46d34ac8f009,CHEMBL5768138,CHEMBL5840248,c13a3468575c,a2fd3e5c15d9,e392073982b0,c6f1bfeaa71e,0.8556,3.1658
837a3dcbf765,CHEMBL4858583,CHEMBL570918,a2116a99684e,dea1f277e113,3e29b80f74c6,3e29b80f74c6,0.871,3.1079
4d22b70778a6,CHEMBL593760,CHEMBL593860,a4097c60fa82,6e5acd2d1644,912fe434e1f0,c9c1b60fac08,0.8767,3.0607
84a0ae9afed4,CHEMBL2064379,CHEMBL2064383,2d5911d88dec,c07a1e8c2203,e9ca67cf14a6,e9ca67cf14a6,0.8689,3.049
20a767ad42d4,CHEMBL5760794,CHEMBL5964497,0ba9f7535a45,d09c745fa3e8,f9334c24dbd8,f9334c24dbd8,0.8784,3.0462
f4cc2a40892c,CHEMBL4858583,CHEMBL583683,a2116a99684e,a423018b4b66,3e29b80f74c6,3e29b80f74c6,1.0,3.0
6b0b0f6b80da,CHEMBL3353409,CHEMBL4290568,adb6e00d499c,633389abf9f0,4aa52b594411,4aa52b594411,0.8625,2.943
2d1ba3ae0c05,CHEMBL250130,CHEMBL403785,147ab0aff385,7b2f8f43c689,8fce79ccdf58,8fce79ccdf58,1.0,2.9345
4374e4916440,CHEMBL5768138,CHEMBL5952823,c13a3468575c,8f0b89a204ed,e392073982b0,b863e5758f53,0.8556,2.8436
